count,pi
349,3.104212860310421
350,3.106194690265487
351,3.108167770419426
352,3.1101321585903086
353,3.112087912087912
354,3.1140350877192984
355,3.1159737417943107
356,3.1179039301310043
357,3.1130434782608694
358,3.1149674620390457
359,3.116883116883117
360,3.1187904967602593
361,3.1206896551724137
362,3.109207708779443
363,3.111111111111111
364,3.113006396588486
365,3.1148936170212767
366,3.1167728237791934
367,3.1186440677966103
368,3.120507399577167
369,3.1157894736842104
370,3.1176470588235294
371,3.119496855345912
372,3.1213389121338913
373,3.1231732776617953
374,3.125
375,3.126819126819127
376,3.128630705394191
377,3.130434782608696
378,3.1322314049586777
379,3.1275720164609053
380,3.1293634496919918
381,3.1311475409836067
382,3.132924335378323
383,3.1346938775510202
384,3.1364562118126273
385,3.138211382113821
386,3.1272727272727274
387,3.129032258064516
388,3.130784708249497
389,3.1325301204819276
390,3.1342685370741483
391,3.129740518962076
392,3.1314741035856573
393,3.1332007952286283
394,3.134920634920635
395,3.130434782608696
396,3.1321499013806706
397,3.1338582677165356
398,3.135559921414538
399,3.131115459882583
400,3.1328125
401,3.1284046692607004
402,3.130097087378641
403,3.131782945736434
404,3.133462282398453
405,3.135135135135135
406,3.136801541425819
407,3.1384615384615384
408,3.140115163147793
409,3.1417624521072796
410,3.1434034416826004
411,3.145038167938931
412,3.140684410646388
413,3.130434782608696
414,3.1261770244821094
415,3.1278195488721803
416,3.1294559099437147
417,3.1310861423220975
418,3.1327102803738316
419,3.1343283582089554
420,3.130111524163569
421,3.1259259259259258
422,3.1275415896487986
423,3.129151291512915
424,3.130755064456722
425,3.1323529411764706
426,3.1339449541284403
427,3.1355311355311355
428,3.1313868613138687
429,3.132969034608379
430,3.1345454545454547
431,3.1361161524500907
432,3.13768115942029
433,3.127927927927928
434,3.129496402877698
435,3.1310592459605027
436,3.1270125223613596
437,3.1285714285714286
438,3.1301247771836005
439,3.131672597864769
440,3.1221238938053095
441,3.1236749116607774
442,3.119718309859155
443,3.1212653778558876
444,3.117338003502627
445,3.1188811188811187
446,3.1204188481675392
447,3.1219512195121952
448,3.123478260869565
449,3.119584055459272
450,3.121107266435986
451,3.1226252158894647
452,3.1187607573149743
453,3.120274914089347
454,3.1217838765008574
455,3.1232876712328768
456,3.124786324786325
457,3.1262798634812285
458,3.1277683134582626
459,3.129251700680272
460,3.130730050933786
461,3.1269035532994924
462,3.1283783783783785
463,3.1298482293423273
464,3.1313131313131315
465,3.1327731092436975
466,3.1289782244556115
467,3.130434782608696
468,3.1266666666666665
469,3.1281198003327786
470,3.1243781094527363
471,3.1258278145695364
472,3.1272727272727274
473,3.128712871287129
474,3.1301482701812193
475,3.1315789473684212
476,3.1330049261083746
477,3.134426229508197
478,3.1358428805237315
479,3.1372549019607843
480,3.1386623164763456
481,3.1400651465798046
482,3.1414634146341465
483,3.142857142857143
484,3.134087237479806
485,3.1354838709677417
486,3.136876006441224
487,3.1182108626198084
488,3.1196172248803826
489,3.121019108280255
490,3.12241653418124
491,3.1188589540412046
492,3.1153238546603474
493,3.1167192429022084
494,3.1181102362204722
495,3.119496855345912
496,3.120879120879121
497,3.122257053291536
498,3.1236306729264474
499,3.125
500,3.121495327102804
501,3.1228615863141522
502,3.124223602484472
503,3.1207430340557276
504,3.1221020092735703
505,3.123456790123457
506,3.1248073959938365
507,3.126153846153846
508,3.1274961597542243
509,3.128834355828221
510,3.120610687022901
511,3.1219512195121952
512,3.1185410334346506
513,3.1151515151515152
514,3.1164901664145233
515,3.117824773413897
516,3.1144578313253013
517,3.111111111111111
518,3.1124437781109444
519,3.1137724550898205
520,3.115097159940209
521,3.1164179104477614
522,3.1177347242921014
523,3.119047619047619
524,3.1203566121842496
525,3.121661721068249
526,3.1183431952662723
527,3.119645494830133
528,3.1209439528023597
529,3.122238586156112
530,3.123529411764706
531,3.1202346041055717
532,3.121522693997072
533,3.1228070175438596
534,3.124087591240876
535,3.1253644314868803
536,3.122093023255814
537,3.123367198838897
538,3.1246376811594203
539,3.125904486251809
540,3.1271676300578033
541,3.1284271284271283
542,3.1296829971181555
543,3.130935251798561
544,3.132183908045977
545,3.133428981348637
546,3.1301859799713876
547,3.1314285714285712
548,3.1326676176890156
549,3.133903133903134
550,3.135135135135135
551,3.1319148936170214
552,3.13314447592068
553,3.1343705799151342
554,3.135593220338983
555,3.136812411847673
556,3.1380281690140843
557,3.1392405063291138
558,3.140449438202247
559,3.1416549789621318
560,3.1384615384615384
561,3.1396648044692737
562,3.1408647140864714
563,3.1420612813370474
564,3.1432545201668987
565,3.1444444444444444
566,3.145631067961165
