t	RE_E	IM_E	RE_P	IM_P	Alpha
374	-1.3633077113108557e-05	0.08926818408754657	-79.70289089164268	13.075759231137335	892.8252872127172
375	-1.343726681970508e-05	0.08637587178929207	-77.23754935262167	12.552244544600121	894.1802052339656
376	-1.3133799360389365e-05	0.0835365500367454	-74.8375342607794	11.968558615508082	895.8432046213687
377	-1.2725516985238381e-05	0.08075132394042878	-72.42051432372475	11.349388856433588	896.8115995264658
378	-1.2216100192976836e-05	0.07802116731069947	-69.97450277632949	10.780299259435148	896.8439662759877
379	-1.1610034268906712e-05	0.07534692637038373	-67.57215227747916	10.309142206854144	896.7925490288023
380	-1.091256941684554e-05	0.07272932360978272	-65.28796149872909	9.891390122837903	897.6637296868998
381	-1.0129674842830337e-05	0.07016896176691526	-63.11391055246116	9.4415856794919	899.4367972592212
382	-9.26798719657685e-06	0.06766632791620614	-60.97007220944675	8.931190999387555	901.0219657783327
383	-8.33475381984215e-06	0.06522179764920932	-58.797302255189344	8.42050491730844	901.481212571591
384	-7.33777129172755e-06	0.06283563933140066	-56.625299119977335	7.988653070218488	901.1504626610825
385	-6.2853197965241355e-06	0.06050801841954442	-54.538353325215986	7.642569818335338	901.327795605886
386	-5.186093870657098e-06	0.058239001824652845	-52.57879011308476	7.30929011156121	902.7994499867765
387	-4.049130112452217e-06	0.05602856230610111	-50.69908989218218	6.9197190909923405	904.8704349933538
388	-2.883732459530371e-06	0.053876582883039134	-48.817099806929996	6.48730589776776	906.0847927457563
389	-1.6993956552118417e-06	0.051782861249842174	-46.91035681139946	6.0916328918039	905.9012135505028
390	-5.057275370238652e-07	0.04974711418296296	-45.04128331475262	5.7864388935781665	905.4037651248213
391	6.876292145891441e-07	0.04776898192719437	-43.28495993786864	5.537917864095712	906.1327644073825
392	1.8710752267992521e-06	0.045848032550005004	-41.642885586700054	5.263672593191906	908.2854380797602
393	3.035131850087906e-06	0.04398376625328233	-40.04153092355137	4.926974635746912	910.3783994252246
394	4.1705172130261104e-06	0.042175619632488885	-38.41669828315386	4.578035478873301	910.8852682959622
395	5.26822030571216e-06	0.040422969873923145	-36.78649445297465	4.295459563850969	910.0532137773168
396	6.319572500521789e-06	0.0387251388814583	-35.22949118537835	4.095640640271571	909.749057954476
397	7.316315943466726e-06	0.037081397324809785	-33.79378667569012	3.9140390063845274	911.3614926771218
398	8.25066827819003e-06	0.03549096860206325	-32.4415701669371	3.6792298643025685	914.1036441283138
399	9.115383197253222e-06	0.03395303270986202	-31.09237559622315	3.394280526655724	915.7734121890338
400	9.903806352870553e-06	0.03246673001531425	-29.71478821736127	3.132263199731071	915.2674420475729
401	1.0609926199102637e-05	0.031031164924324686	-28.36128518520828	2.9516763801233195	913.993759246592
402	1.1228419381762213e-05	0.029645409441692926	-27.106755708176713	2.829173520414341	914.4020575327103
403	1.1754690338444366e-05	0.028308506618935383	-25.961781804360513	2.6864709038603127	917.1410274228274
404	1.2184904820290638e-05	0.027019473886384832	-24.86012770028142	2.479946927428448	920.1230610276058
405	1.2516017098077059e-05	0.025777306266703433	-23.734220105075927	2.2499185257602274	920.7830600425109
406	1.274579066775113e-05	0.024580979467498588	-22.591585502776258	2.0734842415408816	919.1112423519384
407	1.2872812324579543e-05	0.023429452851268125	-21.504745922713546	1.9756107901738404	917.897017244635
408	1.2896499529162126e-05	0.02232167228140891	-20.52676586180041	1.9005416754606461	919.6379555150304
409	1.2817101043889436e-05	0.021256572843508497	-19.62965974347428	1.775823760883725	923.5130950477605
410	1.2635690872184885e-05	0.020233081441601228	-18.736004848096044	1.594998293278576	926.0573423476665
411	1.2354155587878658e-05	0.01925011926949831	-17.806910576159225	1.4241653287433658	925.0756828791134
